task_id,recursion_pattern,branching_factor,expected_big_o,difficulty_tier,input_domain,converged,iterations_to_converge,iterations_attempted,actual_total_tokens,mutation_score,predicted_tokens,prediction_cost_tokens
rf-00001,tail,1,O(n),medium,"n: int, 0-50",False,,4,2034,,1200,178
rf-00002,binary-tree,2,O(phi^n),high,"n: int, 0-18",True,2,2,945,3/3,1500,193
rf-00003,triple-branch,3,O(3^n)-ish,high,"n: int, 0-8",False,,4,1715,,1200,218
rf-00004,mixed-parity,2,O(phi^n) worst-case,high,"n: int, 0-16",False,,4,2684,,1500,220
rf-00005,linear,1,O(n),high,"n: int, 0-120",False,,4,2245,,1200,177
rf-00006,tail,1,O(n),high,"n: int, 0-120",False,,4,2027,,1500,178
rf-00007,binary-tree,2,O(phi^n),medium,"n: int, 0-10",True,2,2,993,3/3,1200,193
rf-00008,triple-branch,3,O(3^n)-ish,high,"n: int, 0-9",False,,4,1746,,1200,218
rf-00009,mixed-parity,2,O(phi^n) worst-case,medium,"n: int, 0-10",False,,4,2432,,1200,220
rf-00010,linear,1,O(n),high,"n: int, 0-250",False,,4,1609,,1200,177
rf-00011,tail,1,O(n),high,"n: int, 0-120",False,,4,2034,,1200,178
rf-00012,binary-tree,2,O(phi^n),medium,"n: int, 0-14",True,2,2,1080,3/3,1500,193
rf-00013,triple-branch,3,O(3^n)-ish,high,"n: int, 0-8",False,,4,2988,,1200,218
rf-00014,mixed-parity,2,O(phi^n) worst-case,high,"n: int, 0-20",False,,4,1898,,1500,220
rf-00015,linear,1,O(n),medium,"n: int, 0-50",False,,4,2300,,1200,177
rf-00016,tail,1,O(n),high,"n: int, 0-120",False,,4,2012,,1500,178
rf-00017,binary-tree,2,O(phi^n),medium,"n: int, 0-14",False,,4,1976,,1500,193
rf-00018,triple-branch,3,O(3^n)-ish,high,"n: int, 0-8",False,,4,2237,,1200,218
rf-00019,mixed-parity,2,O(phi^n) worst-case,medium,"n: int, 0-10",False,,4,2500,,1200,220
rf-00020,linear,1,O(n),medium,"n: int, 0-50",False,,4,2016,,1500,177
