task_id,recursion_pattern,branching_factor,expected_big_o,difficulty_tier,input_domain,actual_total_tokens,converged,iterations_attempted,predicted_v1_bare,predicted_v2_rich,v2_finished,v2_prediction_cost_tokens
rf-00001,tail,1,O(n),medium,"n: int, 0-50",2034,False,,1200,120,True,451
rf-00002,binary-tree,2,O(phi^n),high,"n: int, 0-18",945,True,,1500,250,True,400
rf-00003,triple-branch,3,O(3^n)-ish,high,"n: int, 0-8",1715,False,,1200,120,True,436
rf-00004,mixed-parity,2,O(phi^n) worst-case,high,"n: int, 0-16",2684,False,,1500,180,True,423
rf-00005,linear,1,O(n),high,"n: int, 0-120",2245,False,,1200,150,True,401
rf-00006,tail,1,O(n),high,"n: int, 0-120",2027,False,,1500,150,True,408
rf-00007,binary-tree,2,O(phi^n),medium,"n: int, 0-10",993,True,,1200,250,True,448
rf-00008,triple-branch,3,O(3^n)-ish,high,"n: int, 0-9",1746,False,,1200,250,True,433
rf-00009,mixed-parity,2,O(phi^n) worst-case,medium,"n: int, 0-10",2432,False,,1200,150,True,418
rf-00010,linear,1,O(n),high,"n: int, 0-250",1609,False,,1200,250,True,409
rf-00011,tail,1,O(n),high,"n: int, 0-120",2034,False,,1200,150,True,385
rf-00012,binary-tree,2,O(phi^n),medium,"n: int, 0-14",1080,True,,1500,250,True,388
rf-00013,triple-branch,3,O(3^n)-ish,high,"n: int, 0-8",2988,False,,1200,250,True,411
rf-00014,mixed-parity,2,O(phi^n) worst-case,high,"n: int, 0-20",1898,False,,1500,150,True,409
rf-00015,linear,1,O(n),medium,"n: int, 0-50",2300,False,,1200,150,True,394
rf-00016,tail,1,O(n),high,"n: int, 0-120",2012,False,,1500,250,True,460
rf-00017,binary-tree,2,O(phi^n),medium,"n: int, 0-14",1976,False,,1500,150,True,502
rf-00018,triple-branch,3,O(3^n)-ish,high,"n: int, 0-8",2237,False,,1200,150,True,413
rf-00019,mixed-parity,2,O(phi^n) worst-case,medium,"n: int, 0-10",2500,False,,1200,150,True,414
rf-00020,linear,1,O(n),medium,"n: int, 0-50",2016,False,,1500,180,True,382
rf-00021,tail,1,O(n),high,"n: int, 0-250",1794,False,,1500,280,True,415
rf-00022,binary-tree,2,O(phi^n),medium,"n: int, 0-10",1078,True,,1500,250,True,448
rf-00023,triple-branch,3,O(3^n)-ish,high,"n: int, 0-8",1047,True,,1200,150,True,401
rf-00024,mixed-parity,2,O(phi^n) worst-case,medium,"n: int, 0-10",3567,False,,1200,450,True,426
rf-00025,linear,1,O(n),medium,"n: int, 0-50",1565,False,,1200,150,True,373
rf-00026,tail,1,O(n),medium,"n: int, 0-50",2041,False,,1500,120,True,362
rf-00027,binary-tree,2,O(phi^n),medium,"n: int, 0-10",975,True,,1500,120,True,457
rf-00028,triple-branch,3,O(3^n)-ish,high,"n: int, 0-8",1047,True,,1500,250,True,428
rf-00029,mixed-parity,2,O(phi^n) worst-case,high,"n: int, 0-20",1192,True,,1200,150,True,420
rf-00030,linear,1,O(n),medium,"n: int, 0-50",2114,False,,1200,150,True,381
rf-00031,tail,1,O(n),high,"n: int, 0-250",2015,False,,1500,180,True,399
rf-00032,binary-tree,2,O(phi^n),medium,"n: int, 0-14",927,True,,1500,250,True,382
rf-00033,triple-branch,3,O(3^n)-ish,high,"n: int, 0-9",2483,False,,1500,250,True,435
rf-00034,mixed-parity,2,O(phi^n) worst-case,medium,"n: int, 0-10",2885,True,,1500,250,True,412
rf-00035,linear,1,O(n),high,"n: int, 0-250",2048,False,,1500,120,True,408
rf-00036,tail,1,O(n),high,"n: int, 0-120",1996,False,,1200,250,True,409
rf-00037,binary-tree,2,O(phi^n),medium,"n: int, 0-10",989,True,,1200,250,True,414
rf-00038,triple-branch,3,O(3^n)-ish,high,"n: int, 0-6",824,True,,1500,120,True,475
rf-00039,mixed-parity,2,O(phi^n) worst-case,high,"n: int, 0-20",2500,False,,1200,120,True,402
rf-00040,linear,1,O(n),high,"n: int, 0-120",876,True,,1200,400,True,386
rf-00041,tail,1,O(n),high,"n: int, 0-120",2034,False,,1200,150,True,384
rf-00042,binary-tree,2,O(phi^n),medium,"n: int, 0-10",942,True,,1500,150,True,453
rf-00043,triple-branch,3,O(3^n)-ish,high,"n: int, 0-9",2108,True,,1200,180,True,422
rf-00044,mixed-parity,2,O(phi^n) worst-case,medium,"n: int, 0-10",2285,False,,1200,280,True,397
rf-00045,linear,1,O(n),high,"n: int, 0-250",814,True,,1200,150,True,403
rf-00046,tail,1,O(n),high,"n: int, 0-120",1951,False,,1200,250,True,413
rf-00047,binary-tree,2,O(phi^n),medium,"n: int, 0-10",1438,True,,1500,300,True,468
rf-00048,triple-branch,3,O(3^n)-ish,high,"n: int, 0-8",1724,False,,1200,250,True,445
rf-00049,mixed-parity,2,O(phi^n) worst-case,high,"n: int, 0-20",3224,False,,1200,150,True,415
rf-00050,linear,1,O(n),high,"n: int, 0-120",2064,False,,1200,150,True,399
rf-00051,tail,1,O(n),medium,"n: int, 0-50",2032,False,,1200,150,True,437
rf-00052,binary-tree,2,O(phi^n),medium,"n: int, 0-10",1469,True,,1200,150,True,456
rf-00053,triple-branch,3,O(3^n)-ish,high,"n: int, 0-8",1010,True,,1200,150,True,425
rf-00054,mixed-parity,2,O(phi^n) worst-case,medium,"n: int, 0-10",1285,True,,1200,250,True,413
rf-00055,linear,1,O(n),medium,"n: int, 0-50",2109,False,,1200,280,True,419
rf-00056,tail,1,O(n),medium,"n: int, 0-50",1977,False,,1200,120,True,390
rf-00057,binary-tree,2,O(phi^n),high,"n: int, 0-18",1706,False,,1200,120,True,387
rf-00058,triple-branch,3,O(3^n)-ish,high,"n: int, 0-8",1691,False,,1200,120,True,403
rf-00059,mixed-parity,2,O(phi^n) worst-case,medium,"n: int, 0-10",2420,False,,1200,180,True,447
rf-00060,linear,1,O(n),medium,"n: int, 0-50",1582,False,,1200,120,True,370
rf-00061,tail,1,O(n),high,"n: int, 0-250",2083,False,,1200,280,True,418
rf-00062,binary-tree,2,O(phi^n),medium,"n: int, 0-10",993,True,,1200,150,True,454
rf-00063,triple-branch,3,O(3^n)-ish,high,"n: int, 0-6",2453,False,,1200,150,True,452
rf-00064,mixed-parity,2,O(phi^n) worst-case,medium,"n: int, 0-10",1192,True,,1200,250,True,407
rf-00065,linear,1,O(n),high,"n: int, 0-250",1997,False,,1200,150,True,387
rf-00066,tail,1,O(n),high,"n: int, 0-120",2041,False,,1200,150,True,390
rf-00067,binary-tree,2,O(phi^n),medium,"n: int, 0-10",2000,False,,1500,200,True,490
rf-00068,triple-branch,3,O(3^n)-ish,high,"n: int, 0-8",1122,True,,1200,150,True,440
rf-00069,mixed-parity,2,O(phi^n) worst-case,high,"n: int, 0-16",2575,False,,1500,200,True,423
rf-00070,linear,1,O(n),high,"n: int, 0-120",2060,False,,1200,250,True,388
rf-00071,tail,1,O(n),medium,"n: int, 0-50",2041,False,,1200,250,True,382
rf-00072,binary-tree,2,O(phi^n),medium,"n: int, 0-14",898,True,,1200,120,True,401
rf-00073,triple-branch,3,O(3^n)-ish,high,"n: int, 0-8",1209,True,,1500,150,True,430
rf-00074,mixed-parity,2,O(phi^n) worst-case,high,"n: int, 0-20",2073,False,,1500,450,True,423
rf-00075,linear,1,O(n),high,"n: int, 0-120",1872,False,,1500,180,True,402
rf-00076,tail,1,O(n),high,"n: int, 0-120",1908,False,,1200,250,True,431
rf-00077,binary-tree,2,O(phi^n),high,"n: int, 0-18",1080,True,,1500,120,True,406
rf-00078,triple-branch,3,O(3^n)-ish,high,"n: int, 0-6",2570,False,,1500,150,True,431
rf-00079,mixed-parity,2,O(phi^n) worst-case,high,"n: int, 0-20",1192,True,,1200,450,True,402
rf-00080,linear,1,O(n),high,"n: int, 0-120",1990,False,,1200,250,True,405
rf-00081,tail,1,O(n),high,"n: int, 0-120",2041,False,,1200,150,True,388
rf-00082,binary-tree,2,O(phi^n),medium,"n: int, 0-10",895,True,,1200,250,True,445
rf-00083,triple-branch,3,O(3^n)-ish,high,"n: int, 0-6",1061,True,,1500,250,True,459
rf-00084,mixed-parity,2,O(phi^n) worst-case,high,"n: int, 0-20",2284,False,,1500,150,True,411
rf-00085,linear,1,O(n),high,"n: int, 0-250",2094,False,,1200,120,True,419
rf-00086,tail,1,O(n),high,"n: int, 0-250",2042,False,,1200,250,True,382
rf-00087,binary-tree,2,O(phi^n),medium,"n: int, 0-10",989,True,,1500,150,True,442
rf-00088,triple-branch,3,O(3^n)-ish,high,"n: int, 0-9",1035,True,,1500,150,True,414
rf-00089,mixed-parity,2,O(phi^n) worst-case,high,"n: int, 0-16",2339,False,,1500,250,True,420
rf-00090,linear,1,O(n),high,"n: int, 0-120",2232,False,,1500,350,True,403
rf-00091,tail,1,O(n),high,"n: int, 0-120",2004,False,,1200,250,True,461
rf-00092,binary-tree,2,O(phi^n),high,"n: int, 0-18",2049,False,,1500,150,True,409
rf-00093,triple-branch,3,O(3^n)-ish,high,"n: int, 0-8",2804,False,,1200,150,True,414
rf-00094,mixed-parity,2,O(phi^n) worst-case,high,"n: int, 0-20",2543,False,,1500,150,True,418
rf-00095,linear,1,O(n),medium,"n: int, 0-50",2148,False,,1200,120,True,385
rf-00096,tail,1,O(n),high,"n: int, 0-250",2279,False,,1200,150,True,435
rf-00097,binary-tree,2,O(phi^n),high,"n: int, 0-18",991,True,,1200,120,True,399
rf-00098,triple-branch,3,O(3^n)-ish,high,"n: int, 0-6",2047,False,,1200,20,True,414
rf-00099,mixed-parity,2,O(phi^n) worst-case,high,"n: int, 0-16",2422,False,,1200,250,True,396
rf-00100,linear,1,O(n),medium,"n: int, 0-50",2183,False,,1200,150,True,399
rf-00101,tail,1,O(n),high,"n: int, 0-120",2009,False,,1200,250,True,430
rf-00102,binary-tree,2,O(phi^n),high,"n: int, 0-18",993,True,,1200,120,True,393
